"Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4","Time","Potential 1","Potential 2","Potential 3","Potential 4"
0.000000,0.755,0.681,-0.466,0.515,0.000000,-0.383,-1.219,-4.408,0.525,0.000000,0.012,1.155,-1.013,0.520,0.000000,-1.399,-0.002,1.438,0.520,0.000000,-1.761,-1.937,1.512,0.525,0.000000,-0.134,-0.427,-2.811,0.525,0.000000,1.053,0.012,1.712,0.525,0.000000,0.173,-0.628,-0.799,0.520,0.000000,1.429,0.012,1.971,0.525,0.000000,-0.168,-1.145,-0.232,0.520,0.000000,1.350,1.790,0.589,0.525,0.000000,-1.033,-1.214,-0.432,0.530,0.000000,1.487,-0.339,2.220,0.525,0.000000,-0.559,-1.443,-2.078,0.525,0.000000,-0.134,-0.701,-1.551,0.525,0.000000,0.198,0.720,-2.728,0.520,0.000000,-0.032,-1.907,0.071,0.525,0.000000,0.564,4.212,1.433,0.530,0.000000,1.121,1.897,1.072,0.525,0.000000,0.779,-1.551,1.013,0.525,0.000000,-1.829,0.232,2.737,0.525,0.000000,1.179,0.628,1.253,0.525,0.000000,-0.950,-1.863,0.413,0.525,0.000000,-0.750,-1.336,-1.634,0.520,0.000000,1.209,2.156,-0.129,0.520,0.000000,1.834,0.379,2.904,0.525,0.000000,0.872,-0.105,0.442,0.525,0.000000,-1.214,-0.227,0.867,0.530,0.000000,1.121,3.646,2.366,0.525,0.000000,0.945,-0.188,1.306,0.525
0.003300,0.750,0.696,-0.501,0.525,0.003300,-0.418,-1.321,-4.452,0.525,0.003300,0.051,1.165,-1.082,0.525,0.003300,-1.346,0.144,1.350,0.525,0.003300,-1.766,-1.736,1.643,0.530,0.003300,-0.144,-0.452,-2.879,0.530,0.003300,1.018,-0.120,1.648,0.520,0.003300,0.144,-0.618,-0.882,0.520,0.003300,1.375,-0.188,1.902,0.525,0.003300,-0.208,-1.145,-0.295,0.520,0.003300,1.360,1.717,0.706,0.525,0.003300,-1.038,-1.228,-0.422,0.525,0.003300,1.409,-0.564,2.122,0.520,0.003300,-0.593,-1.512,-2.093,0.520,0.003300,-0.154,-0.716,-1.624,0.525,0.003300,0.217,0.759,-2.791,0.520,0.003300,-0.095,-1.912,0.012,0.525,0.003300,0.691,4.129,1.580,0.525,0.003300,1.145,1.795,1.165,0.525,0.003300,0.696,-1.604,0.872,0.520,0.003300,-1.751,0.554,2.611,0.525,0.003300,1.155,0.515,1.238,0.525,0.003300,-0.979,-1.824,0.457,0.525,0.003300,-0.774,-1.414,-1.639,0.520,0.003300,1.243,2.151,-0.002,0.525,0.003300,1.780,0.022,2.879,0.525,0.003300,0.842,-0.134,0.369,0.520,0.003300,-1.170,-0.144,0.799,0.520,0.003300,1.209,3.436,2.596,0.525,0.003300,0.906,-0.286,1.223,0.525
0.006600,0.755,0.720,-0.525,0.520,0.006600,-0.452,-1.429,-4.486,0.520,0.006600,0.090,1.175,-1.145,0.525,0.006600,-1.297,0.271,1.253,0.520,0.006600,-1.756,-1.521,1.761,0.525,0.006600,-0.154,-0.476,-2.957,0.525,0.006600,0.969,-0.242,1.570,0.520,0.006600,0.120,-0.603,-0.960,0.520,0.006600,1.316,-0.374,1.819,0.530,0.006600,-0.237,-1.140,-0.349,0.520,0.006600,1.370,1.629,0.808,0.525,0.006600,-1.048,-1.248,-0.408,0.530,0.006600,1.341,-0.774,2.005,0.525,0.006600,-0.628,-1.595,-2.103,0.520,0.006600,-0.173,-0.720,-1.692,0.525,0.006600,0.242,0.799,-2.845,0.520,0.006600,-0.164,-1.902,-0.032,0.525,0.006600,0.813,4.032,1.756,0.525,0.006600,1.165,1.687,1.253,0.525,0.006600,0.613,-1.643,0.740,0.520,0.006600,-1.658,0.847,2.459,0.520,0.006600,1.136,0.403,1.219,0.520,0.006600,-1.009,-1.775,0.501,0.525,0.006600,-0.799,-1.492,-1.634,0.525,0.006600,1.277,2.132,0.134,0.520,0.006600,1.707,-0.315,2.816,0.525,0.006600,0.803,-0.164,0.291,0.525,0.006600,-1.131,-0.071,0.725,0.525,0.006600,1.282,3.192,2.821,0.525,0.006600,0.857,-0.369,1.140,0.525
0.009900,0.750,0.745,-0.559,0.525,0.009900,-0.491,-1.551,-4.505,0.525,0.009900,0.129,1.179,-1.204,0.525,0.009900,-1.228,0.388,1.140,0.520,0.009900,-1.746,-1.287,1.844,0.525,0.009900,-0.168,-0.505,-3.031,0.525,0.009900,0.921,-0.349,1.487,0.525,0.009900,0.090,-0.584,-1.043,0.525,0.009900,1.253,-0.545,1.726,0.525,0.009900,-0.271,-1.140,-0.408,0.520,0.009900,1.385,1.526,0.911,0.525,0.009900,-1.053,-1.267,-0.393,0.525,0.009900,1.258,-0.960,1.873,0.525,0.009900,-0.662,-1.678,-2.098,0.520,0.009900,-0.198,-0.740,-1.761,0.520,0.009900,0.261,0.842,-2.908,0.525,0.009900,-0.227,-1.897,-0.076,0.525,0.009900,0.930,3.910,1.951,0.530,0.009900,1.184,1.565,1.331,0.525,0.009900,0.530,-1.673,0.613,0.520,0.009900,-1.560,1.106,2.278,0.520,0.009900,1.101,0.305,1.179,0.525,0.009900,-1.033,-1.722,0.549,0.525,0.009900,-0.818,-1.570,-1.624,0.525,0.009900,1.306,2.098,0.266,0.525,0.009900,1.629,-0.637,2.703,0.525,0.009900,0.769,-0.188,0.212,0.525,0.009900,-1.092,-0.007,0.652,0.530,0.009900,1.346,2.923,3.045,0.530,0.009900,0.818,-0.437,1.048,0.525
0.013200,0.750,0.774,-0.579,0.525,0.013200,-0.530,-1.687,-4.520,0.525,0.013200,0.168,1.194,-1.258,0.520,0.013200,-1.170,0.491,1.028,0.520,0.013200,-1.722,-1.057,1.897,0.525,0.013200,-0.183,-0.535,-3.099,0.525,0.013200,0.877,-0.447,1.389,0.520,0.013200,0.066,-0.584,-1.121,0.525,0.013200,1.184,-0.696,1.619,0.525,0.013200,-0.300,-1.145,-0.462,0.520,0.013200,1.385,1.419,0.999,0.525,0.013200,-1.062,-1.282,-0.383,0.525,0.013200,1.179,-1.121,1.731,0.520,0.013200,-0.701,-1.766,-2.093,0.520,0.013200,-0.212,-0.755,-1.829,0.525,0.013200,0.281,0.901,-2.957,0.520,0.013200,-0.286,-1.888,-0.105,0.525,0.013200,1.028,3.758,2.156,0.525,0.013200,1.194,1.438,1.404,0.525,0.013200,0.452,-1.687,0.501,0.520,0.013200,-1.463,1.336,2.083,0.525,0.013200,1.072,0.203,1.131,0.530,0.013200,-1.057,-1.668,0.589,0.525,0.013200,-0.852,-1.653,-1.609,0.525,0.013200,1.331,2.049,0.408,0.525,0.013200,1.546,-0.926,2.567,0.525,0.013200,0.735,-0.203,0.139,0.525,0.013200,-1.057,0.051,0.564,0.525,0.013200,1.394,2.625,3.250,0.530,0.013200,0.764,-0.510,0.955,0.525
0.016500,0.750,0.803,-0.598,0.525,0.016500,-0.574,-1.834,-4.525,0.525,0.016500,0.208,1.214,-1.311,0.525,0.016500,-1.111,0.579,0.906,0.520,0.016500,-1.697,-0.823,1.927,0.525,0.016500,-0.198,-0.569,-3.172,0.525,0.016500,0.828,-0.535,1.297,0.520,0.016500,0.042,-0.574,-1.199,0.520,0.016500,1.111,-0.838,1.492,0.525,0.016500,-0.335,-1.150,-0.510,0.520,0.016500,1.385,1.302,1.077,0.525,0.016500,-1.072,-1.297,-0.364,0.525,0.016500,1.096,-1.258,1.580,0.520,0.016500,-0.740,-1.858,-2.078,0.525,0.016500,-0.232,-0.779,-1.893,0.525,0.016500,0.315,0.955,-3.011,0.525,0.016500,-0.339,-1.888,-0.134,0.525,0.016500,1.126,3.578,2.381,0.520,0.016500,1.204,1.302,1.463,0.525,0.016500,0.369,-1.702,0.393,0.520,0.016500,-1.355,1.531,1.878,0.525,0.016500,1.038,0.115,1.082,0.525,0.016500,-1.077,-1.609,0.632,0.525,0.016500,-0.882,-1.741,-1.580,0.525,0.016500,1.355,1.985,0.540,0.520,0.016500,1.443,-1.194,2.410,0.525,0.016500,0.701,-0.217,0.056,0.525,0.016500,-1.013,0.095,0.471,0.525,0.016500,1.433,2.303,3.441,0.530,0.016500,0.720,-0.559,0.862,0.525
0.019800,0.759,0.828,-0.623,0.525,0.019800,-0.628,-1.985,-4.515,0.530,0.019800,0.242,1.233,-1.355,0.525,0.019800,-1.048,0.652,0.784,0.520,0.019800,-1.658,-0.593,1.927,0.525,0.019800,-0.208,-0.613,-3.241,0.525,0.019800,0.774,-0.618,1.199,0.525,0.019800,0.022,-0.564,-1.277,0.520,0.019800,1.038,-0.955,1.370,0.525,0.019800,-0.359,-1.155,-0.559,0.525,0.019800,1.385,1.179,1.145,0.525,0.019800,-1.082,-1.311,-0.349,0.525,0.019800,1.004,-1.380,1.433,0.525,0.019800,-0.784,-1.956,-2.054,0.520,0.019800,-0.256,-0.808,-1.961,0.520,0.019800,0.330,1.018,-3.055,0.525,0.019800,-0.398,-1.883,-0.154,0.525,0.019800,1.209,3.363,2.606,0.525,0.019800,1.204,1.170,1.507,0.530,0.019800,0.295,-1.707,0.291,0.525,0.019800,-1.243,1.702,1.673,0.525,0.019800,1.004,0.022,1.018,0.530,0.019800,-1.096,-1.541,0.681,0.525,0.019800,-0.921,-1.824,-1.541,0.525,0.019800,1.380,1.917,0.681,0.525,0.019800,1.346,-1.419,2.239,0.530,0.019800,0.667,-0.217,-0.017,0.525,0.019800,-0.974,0.139,0.388,0.525,0.019800,1.458,1.961,3.597,0.530,0.019800,0.676,-0.608,0.764,0.525
0.023100,0.759,0.857,-0.642,0.525,0.023100,-0.676,-2.161,-4.491,0.525,0.023100,0.276,1.263,-1.394,0.525,0.023100,-0.984,0.716,0.657,0.520,0.023100,-1.619,-0.374,1.902,0.520,0.023100,-0.227,-0.647,-3.309,0.525,0.023100,0.725,-0.676,1.092,0.520,0.023100,0.007,-0.559,-1.360,0.520,0.023100,0.969,-1.053,1.238,0.525,0.023100,-0.393,-1.165,-0.608,0.525,0.023100,1.370,1.053,1.199,0.525,0.023100,-1.092,-1.326,-0.330,0.525,0.023100,0.916,-1.477,1.282,0.520,0.023100,-0.823,-2.059,-2.010,0.525,0.023100,-0.271,-0.838,-2.020,0.520,0.023100,0.359,1.082,-3.094,0.525,0.023100,-0.452,-1.878,-0.168,0.525,0.023100,1.282,3.118,2.825,0.525,0.023100,1.199,1.028,1.541,0.530,0.023100,0.227,-1.712,0.193,0.520,0.023100,-1.136,1.839,1.468,0.525,0.023100,0.965,-0.056,0.955,0.525,0.023100,-1.106,-1.477,0.716,0.525,0.023100,-0.950,-1.912,-1.497,0.530,0.023100,1.394,1.824,0.808,0.530,0.023100,1.243,-1.624,2.054,0.530,0.023100,0.632,-0.217,-0.100,0.525,0.023100,-0.935,0.178,0.295,0.525,0.023100,1.468,1.609,3.729,0.530,0.023100,0.628,-0.642,0.667,0.525
0.026400,0.764,0.886,-0.657,0.525,0.026400,-0.730,-2.342,-4.447,0.525,0.026400,0.310,1.292,-1.433,0.525,0.026400,-0.916,0.769,0.530,0.525,0.026400,-1.570,-0.159,1.849,0.525,0.026400,-0.237,-0.696,-3.377,0.525,0.026400,0.672,-0.735,0.994,0.525,0.026400,-0.017,-0.549,-1.433,0.520,0.026400,0.891,-1.140,1.106,0.525,0.026400,-0.418,-1.170,-0.647,0.525,0.026400,1.360,0.921,1.233,0.520,0.026400,-1.101,-1.331,-0.305,0.525,0.026400,0.828,-1.560,1.131,0.520,0.026400,-0.872,-2.161,-1.956,0.520,0.026400,-0.291,-0.872,-2.088,0.520,0.026400,0.383,1.150,-3.133,0.525,0.026400,-0.501,-1.873,-0.178,0.525,0.026400,1.346,2.850,3.045,0.520,0.026400,1.189,0.882,1.565,0.525,0.026400,0.159,-1.712,0.105,0.525,0.026400,-1.023,1.951,1.272,0.520,0.026400,0.926,-0.125,0.882,0.525,0.026400,-1.121,-1.409,0.740,0.520,0.026400,-0.989,-2.000,-1.448,0.525,0.026400,1.409,1.722,0.926,0.525,0.026400,1.136,-1.795,1.868,0.525,0.026400,0.608,-0.212,-0.183,0.530,0.026400,-0.891,0.208,0.203,0.525,0.026400,1.468,1.253,3.817,0.530,0.026400,0.579,-0.672,0.569,0.530
0.029700,0.764,0.921,-0.672,0.525,0.029700,-0.799,-2.532,-4.388,0.530,0.029700,0.349,1.326,-1.463,0.525,0.029700,-0.857,0.808,0.398,0.525,0.029700,-1.512,0.042,1.770,0.520,0.029700,-0.261,-0.745,-3.441,0.520,0.029700,0.623,-0.789,0.886,0.525,0.029700,-0.032,-0.549,-1.512,0.525,0.029700,0.818,-1.209,0.979,0.525,0.029700,-0.442,-1.189,-0.686,0.525,0.029700,1.341,0.789,1.263,0.525,0.029700,-1.101,-1.346,-0.281,0.525,0.029700,0.745,-1.624,0.984,0.520,0.029700,-0.926,-2.269,-1.893,0.525,0.029700,-0.310,-0.906,-2.142,0.520,0.029700,0.413,1.228,-3.162,0.530,0.029700,-0.549,-1.873,-0.178,0.520,0.029700,1.394,2.557,3.245,0.520,0.029700,1.175,0.740,1.575,0.525,0.029700,0.090,-1.702,0.027,0.520,0.029700,-0.921,2.044,1.082,0.520,0.029700,0.891,-0.188,0.808,0.525,0.029700,-1.131,-1.336,0.769,0.525,0.029700,-1.023,-2.088,-1.375,0.525,0.029700,1.419,1.614,1.043,0.525,0.029700,1.028,-1.937,1.683,0.525,0.029700,0.574,-0.212,-0.261,0.530,0.029700,-0.847,0.227,0.105,0.520,0.029700,1.448,0.886,3.866,0.530,0.029700,0.535,-0.696,0.471,0.530
0.033000,0.774,0.950,-0.681,0.530,0.033000,-0.862,-2.742,-4.305,0.525,0.033000,0.383,1.360,-1.492,0.530,0.033000,-0.799,0.838,0.276,0.525,0.033000,-1.453,0.222,1.678,0.520,0.033000,-0.276,-0.799,-3.504,0.520,0.033000,0.569,-0.828,0.789,0.520,0.033000,-0.051,-0.549,-1.585,0.525,0.033000,0.740,-1.263,0.852,0.525,0.033000,-0.476,-1.204,-0.725,0.525,0.033000,1.321,0.657,1.267,0.520,0.033000,-1.116,-1.350,-0.256,0.520,0.033000,0.657,-1.673,0.847,0.520,0.033000,-0.969,-2.381,-1.814,0.520,0.033000,-0.335,-0.950,-2.195,0.520,0.033000,0.447,1.316,-3.192,0.525,0.033000,-0.598,-1.873,-0.178,0.520,0.033000,1.429,2.239,3.421,0.520,0.033000,1.155,0.598,1.575,0.525,0.033000,0.027,-1.697,-0.046,0.525,0.033000,-0.808,2.107,0.911,0.525,0.033000,0.852,-0.242,0.735,0.525,0.033000,-1.136,-1.258,0.794,0.520,0.033000,-1.067,-2.171,-1.297,0.525,0.033000,1.419,1.487,1.136,0.525,0.033000,0.916,-2.054,1.512,0.530,0.033000,0.545,-0.198,-0.339,0.525,0.033000,-0.808,0.242,0.017,0.520,0.033000,1.424,0.525,3.885,0.530,0.033000,0.491,-0.716,0.374,0.530
0.036300,0.779,0.984,-0.691,0.525,0.036300,-0.935,-2.957,-4.198,0.530,0.036300,0.418,1.404,-1.516,0.525,0.036300,-0.740,0.857,0.154,0.525,0.036300,-1.389,0.393,1.570,0.520,0.036300,-0.291,-0.857,-3.568,0.520,0.036300,0.520,-0.857,0.686,0.520,0.036300,-0.071,-0.554,-1.663,0.525,0.036300,0.672,-1.306,0.725,0.525,0.036300,-0.501,-1.219,-0.764,0.525,0.036300,1.292,0.525,1.267,0.525,0.036300,-1.126,-1.350,-0.232,0.520,0.036300,0.569,-1.712,0.720,0.525,0.036300,-1.023,-2.488,-1.717,0.525,0.036300,-0.359,-0.994,-2.254,0.520,0.036300,0.481,1.409,-3.206,0.525,0.036300,-0.642,-1.868,-0.164,0.520,0.036300,1.453,1.902,3.578,0.525,0.036300,1.136,0.466,1.551,0.525,0.036300,-0.032,-1.692,-0.110,0.525,0.036300,-0.701,2.161,0.745,0.525,0.036300,0.808,-0.291,0.652,0.525,0.036300,-1.136,-1.179,0.808,0.525,0.036300,-1.111,-2.254,-1.204,0.525,0.036300,1.424,1.346,1.228,0.530,0.036300,0.808,-2.147,1.336,0.530,0.036300,0.520,-0.188,-0.418,0.525,0.036300,-0.769,0.247,-0.081,0.520,0.036300,1.385,0.173,3.861,0.525,0.036300,0.447,-0.725,0.281,0.530
0.039600,0.784,1.018,-0.701,0.525,0.039600,-1.013,-3.197,-4.061,0.530,0.039600,0.457,1.443,-1.526,0.525,0.039600,-0.681,0.877,0.037,0.525,0.039600,-1.321,0.549,1.443,0.525,0.039600,-0.310,-0.926,-3.621,0.525,0.039600,0.471,-0.886,0.589,0.525,0.039600,-0.085,-0.559,-1.736,0.525,0.039600,0.598,-1.341,0.603,0.525,0.039600,-0.530,-1.243,-0.794,0.525,0.039600,1.263,0.398,1.248,0.515,0.039600,-1.131,-1.355,-0.208,0.520,0.039600,0.491,-1.736,0.598,0.525,0.039600,-1.077,-2.596,-1.609,0.525,0.039600,-0.383,-1.043,-2.308,0.520,0.039600,0.510,1.507,-3.216,0.525,0.039600,-0.686,-1.863,-0.154,0.520,0.039600,1.463,1.556,3.695,0.530,0.039600,1.106,0.330,1.526,0.525,0.039600,-0.090,-1.692,-0.168,0.525,0.039600,-0.593,2.200,0.603,0.525,0.039600,0.764,-0.330,0.569,0.525,0.039600,-1.136,-1.101,0.818,0.520,0.039600,-1.155,-2.332,-1.101,0.525,0.039600,1.414,1.209,1.306,0.525,0.039600,0.701,-2.215,1.179,0.520,0.039600,0.496,-0.168,-0.496,0.525,0.039600,-0.735,0.252,-0.173,0.520,0.039600,1.336,-0.159,3.802,0.525,0.039600,0.403,-0.735,0.188,0.525
0.042900,0.799,1.053,-0.701,0.525,0.042900,-1.096,-3.436,-3.895,0.525,0.042900,0.491,1.497,-1.541,0.530,0.042900,-0.623,0.882,-0.076,0.525,0.042900,-1.253,0.686,1.311,0.520,0.042900,-0.339,-0.994,-3.680,0.520,0.042900,0.422,-0.901,0.486,0.525,0.042900,-0.105,-0.569,-1.810,0.525,0.042900,0.530,-1.365,0.486,0.525,0.042900,-0.549,-1.263,-0.823,0.525,0.042900,1.233,0.281,1.223,0.525,0.042900,-1.140,-1.360,-0.183,0.520,0.042900,0.408,-1.746,0.481,0.520,0.042900,-1.136,-2.698,-1.482,0.525,0.042900,-0.408,-1.101,-2.352,0.525,0.042900,0.549,1.614,-3.216,0.525,0.042900,-0.730,-1.863,-0.134,0.520,0.042900,1.458,1.194,3.783,0.525,0.042900,1.077,0.208,1.482,0.525,0.042900,-0.154,-1.687,-0.222,0.525,0.042900,-0.496,2.225,0.466,0.525,0.042900,0.725,-0.364,0.481,0.530,0.042900,-1.131,-1.023,0.813,0.525,0.042900,-1.194,-2.400,-0.984,0.530,0.042900,1.409,1.057,1.360,0.530,0.042900,0.598,-2.264,1.038,0.525,0.042900,0.471,-0.159,-0.574,0.525,0.042900,-0.701,0.252,-0.271,0.520,0.042900,1.277,-0.476,3.719,0.525,0.042900,0.364,-0.735,0.095,0.525
0.046200,0.803,1.087,-0.701,0.525,0.046200,-1.184,-3.695,-3.700,0.525,0.046200,0.530,1.551,-1.546,0.525,0.046200,-0.574,0.882,-0.188,0.525,0.046200,-1.179,0.799,1.175,0.520,0.046200,-0.364,-1.077,-3.729,0.525,0.046200,0.369,-0.911,0.398,0.525,0.046200,-0.125,-0.574,-1.888,0.525,0.046200,0.466,-1.380,0.379,0.530,0.046200,-0.579,-1.292,-0.847,0.525,0.046200,1.199,0.168,1.175,0.525,0.046200,-1.150,-1.360,-0.154,0.520,0.046200,0.335,-1.766,0.379,0.525,0.046200,-1.194,-2.806,-1.336,0.525,0.046200,-0.427,-1.160,-2.396,0.525,0.046200,0.589,1.726,-3.206,0.525,0.046200,-0.769,-1.863,-0.120,0.525,0.046200,1.443,0.842,3.827,0.520,0.046200,1.048,0.090,1.429,0.525,0.046200,-0.208,-1.687,-0.271,0.525,0.046200,-0.398,2.244,0.344,0.525,0.046200,0.686,-0.388,0.393,0.530,0.046200,-1.126,-0.945,0.813,0.525,0.046200,-1.243,-2.464,-0.867,0.525,0.046200,1.394,0.911,1.404,0.525,0.046200,0.491,-2.303,0.906,0.520,0.046200,0.452,-0.134,-0.652,0.530,0.046200,-0.667,0.242,-0.364,0.525,0.046200,1.204,-0.769,3.602,0.525,0.046200,0.325,-0.735,0.002,0.525
0.049500,0.818,1.126,-0.696,0.525,0.049500,-1.282,-3.954,-3.460,0.525,0.049500,0.564,1.609,-1.541,0.525,0.049500,-0.520,0.882,-0.295,0.525,0.049500,-1.101,0.896,1.028,0.525,0.049500,-0.393,-1.155,-3.773,0.520,0.049500,0.325,-0.926,0.300,0.530,0.049500,-0.139,-0.589,-1.961,0.520,0.049500,0.398,-1.389,0.266,0.520,0.049500,-0.603,-1.316,-0.872,0.525,0.049500,1.155,0.061,1.121,0.525,0.049500,-1.155,-1.360,-0.125,0.520,0.049500,0.256,-1.770,0.281,0.525,0.049500,-1.253,-2.894,-1.179,0.525,0.049500,-0.452,-1.223,-2.435,0.525,0.049500,0.632,1.844,-3.182,0.530,0.049500,-0.808,-1.853,-0.085,0.525,0.049500,1.414,0.486,3.832,0.525,0.049500,1.009,-0.017,1.370,0.525,0.049500,-0.261,-1.687,-0.310,0.520,0.049500,-0.305,2.259,0.247,0.530,0.049500,0.647,-0.413,0.305,0.525,0.049500,-1.121,-0.867,0.799,0.525,0.049500,-1.292,-2.518,-0.720,0.530,0.049500,1.375,0.759,1.429,0.525,0.049500,0.393,-2.332,0.784,0.525,0.049500,0.432,-0.115,-0.730,0.525,0.049500,-0.632,0.237,-0.457,0.520,0.049500,1.131,-1.053,3.475,0.525,0.049500,0.286,-0.735,-0.081,0.525
0.052800,0.833,1.160,-0.691,0.525,0.052800,-1.380,-4.222,-3.182,0.520,0.052800,0.608,1.668,-1.531,0.525,0.052800,-0.471,0.872,-0.398,0.530,0.052800,-1.028,0.984,0.886,0.525,0.052800,-0.418,-1.248,-3.822,0.525,0.052800,0.276,-0.926,0.212,0.525,0.052800,-0.159,-0.608,-2.029,0.525,0.052800,0.330,-1.394,0.164,0.520,0.052800,-0.632,-1.350,-0.891,0.525,0.052800,1.116,-0.042,1.067,0.530,0.052800,-1.165,-1.350,-0.090,0.520,0.052800,0.183,-1.770,0.193,0.525,0.052800,-1.316,-2.977,-0.994,0.525,0.052800,-0.486,-1.297,-2.469,0.520,0.052800,0.676,1.976,-3.153,0.525,0.052800,-0.847,-1.849,-0.056,0.525,0.052800,1.370,0.139,3.807,0.525,0.052800,0.969,-0.120,1.302,0.520,0.052800,-0.315,-1.678,-0.349,0.525,0.052800,-0.212,2.264,0.159,0.525,0.052800,0.608,-0.422,0.217,0.525,0.052800,-1.111,-0.794,0.779,0.525,0.052800,-1.331,-2.562,-0.574,0.520,0.052800,1.350,0.608,1.438,0.525,0.052800,0.295,-2.347,0.676,0.525,0.052800,0.413,-0.090,-0.808,0.520,0.052800,-0.598,0.222,-0.545,0.530,0.052800,1.048,-1.297,3.324,0.525,0.052800,0.252,-0.730,-0.168,0.520
0.056100,0.847,1.199,-0.681,0.525,0.056100,-1.487,-4.486,-2.869,0.520,0.056100,0.642,1.731,-1.516,0.520,0.056100,-0.422,0.872,-0.501,0.525,0.056100,-0.955,1.048,0.740,0.520,0.056100,-0.447,-1.346,-3.856,0.520,0.056100,0.237,-0.930,0.129,0.530,0.056100,-0.173,-0.623,-2.093,0.525,0.056100,0.271,-1.394,0.071,0.520,0.056100,-0.657,-1.375,-0.906,0.525,0.056100,1.072,-0.129,0.999,0.525,0.056100,-1.170,-1.346,-0.061,0.525,0.056100,0.110,-1.770,0.110,0.525,0.056100,-1.380,-3.050,-0.803,0.525,0.056100,-0.515,-1.375,-2.503,0.525,0.056100,0.730,2.107,-3.099,0.530,0.056100,-0.882,-1.839,-0.017,0.525,0.056100,1.321,-0.193,3.744,0.525,0.056100,0.930,-0.212,1.228,0.525,0.056100,-0.359,-1.683,-0.379,0.525,0.056100,-0.125,2.274,0.081,0.525,0.056100,0.569,-0.432,0.125,0.525,0.056100,-1.092,-0.720,0.755,0.525,0.056100,-1.380,-2.596,-0.418,0.520,0.056100,1.321,0.466,1.433,0.525,0.056100,0.198,-2.357,0.589,0.520,0.056100,0.398,-0.066,-0.882,0.525,0.056100,-0.569,0.208,-0.637,0.520,0.056100,0.955,-1.516,3.172,0.525,0.056100,0.217,-0.725,-0.256,0.525
0.059400,0.862,1.233,-0.667,0.525,0.059400,-1.600,-4.740,-2.513,0.520,0.059400,0.686,1.800,-1.487,0.525,0.059400,-0.379,0.862,-0.593,0.525,0.059400,-0.886,1.101,0.598,0.525,0.059400,-0.486,-1.453,-3.885,0.525,0.059400,0.193,-0.930,0.042,0.525,0.059400,-0.188,-0.642,-2.166,0.530,0.059400,0.208,-1.394,-0.022,0.520,0.059400,-0.686,-1.414,-0.916,0.520,0.059400,1.028,-0.212,0.921,0.525,0.059400,-1.175,-1.331,-0.037,0.520,0.059400,0.046,-1.766,0.037,0.530,0.059400,-1.438,-3.104,-0.589,0.525,0.059400,-0.549,-1.458,-2.523,0.525,0.059400,0.779,2.254,-3.040,0.525,0.059400,-0.916,-1.829,0.012,0.530,0.059400,1.263,-0.505,3.656,0.525,0.059400,0.886,-0.291,1.145,0.525,0.059400,-0.408,-1.687,-0.403,0.525,0.059400,-0.037,2.274,0.022,0.525,0.059400,0.535,-0.442,0.042,0.525,0.059400,-1.082,-0.657,0.730,0.520,0.059400,-1.419,-2.611,-0.242,0.520,0.059400,1.287,0.320,1.409,0.525,0.059400,0.110,-2.357,0.510,0.525,0.059400,0.379,-0.037,-0.960,0.520,0.059400,-0.545,0.188,-0.725,0.525,0.059400,0.862,-1.707,3.016,0.525,0.059400,0.183,-0.720,-0.344,0.520
